skills
cgpa
Critical Thinking
Problem Solving
Team Work
Communication Skill
Software Engineering Principal
Data Structure & Algorithm
Database Management
Data Analysis skill
Web Developing Skill
Understanding of computer architecture & System
Understanding Operating System
Networking Concept
Cyber Security Skill
Machine Learning Skill
Robotics Skill
Research Skill
publication
project
