,Personal Info,,,,,,soft_skills,,,,academic skills,,,,,,,,,,,,,,Influencing Factor,Prefer Job
Date,name,e-mail,gender,year,cgpa,university_name,Critical Thinking,Problem Solving,Team Work,Communication Skill,Software Engineering Principal,Data Structure & Algorithm,Database Management,Data Analysis,Web Developing Skill,Understanding of computer architecture & System,Understanding Operating System,Networking Concept,Cyber Security,Maching Learning,Robotics,Research Skill,publication,project,Influencing Factor,Prefer Job
2024-04-24 11:19,,,Male,4th,3.09,United International University (UIU),Advance,Advance,Advance,Advance,Advance,Intermediate,Intermediate,Basic,Advance,Intermediate,Intermediate,Advance,Intermediate,Basic,Basic,Basic,0,1,"Job Environment,Salary","Software Development,Cyber Security"
2024-04-24 11:36,,,Male,4th,3,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Basic,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Intermediate,Basic,Basic,Intermediate,Basic,Basic,Basic,,,4,Salary,Software Development
2024-04-24 11:38,,,Male,2nd,3.78,United International University (UIU),Intermediate,Intermediate,Intermediate,Basic,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,,0,2,"Job Security,Job Environment,flaxible Work Life Balanced","Software Development,Data Analysis,ML/AI Engineer,Teaching,Abroad"
2024-04-24 11:42,,,Male,4th,3.01,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Advance,Advance,Advance,Advance,Advance,Advance,Intermediate,Advance,Advance,Basic,Intermediate,Intermediate,Basic,Basic,Basic,Intermediate,1,4,"Job Environment,Salary","Software Development,Abroad"
2024-04-24 12:30,,,Male,4th,2.8,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Advance,Advance,Advance,Advance,Intermediate,Advance,Intermediate,Intermediate,Basic,Basic,Basic,Basic,Basic,Intermediate,Basic,Basic,1,2,"Social Acceptance,Job Security,Job Environment,Salary,flaxible Work Life Balanced","Software Development,ML/AI Engineer,Teaching"
2024-04-24 13:04,,,Male,3rd,2.9,United International University (UIU),Intermediate,Advance,Advance,Advance,Advance,Intermediate,Advance,Intermediate,Advance,Intermediate,Intermediate,Basic,Basic,Basic,Basic,Basic,1,5,Social Acceptance,Software Development
2024-04-24 13:13,,,Female,1st,,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Basic,Basic,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,,,Basic,,,,"Job Security,flaxible Work Life Balanced",Govt Job
2024-04-24 13:22,,,Male,4th,3.66,Mawlana Bhashani Science & Technology University (MBSTU),Advance,Advance,Advance,Advance,Advance,Advance,Intermediate,Intermediate,Advance,Intermediate,Basic,Advance,Intermediate,Intermediate,Basic,Basic,0,3,Job Environment,"Software Development,Cyber Security"
2024-04-24 13:51,,,Male,1st,3.21,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Intermediate,Intermediate,Intermediate,Basic,Basic,Intermediate,Basic,,Intermediate,Basic,Basic,,Basic,Basic,Basic,,,1,"Social Acceptance,Job Environment,Salary,flaxible Work Life Balanced","Software Development,Teaching,Business"
2024-04-24 16:01,,,Male,2nd,3.66,American International University-Bangladesh (AIUB),Intermediate,Intermediate,Intermediate,Basic,Intermediate,Intermediate,Intermediate,Basic,Advance,Intermediate,Basic,Basic,Basic,Basic,Basic,,0,3,"Job Environment,Salary,flaxible Work Life Balanced","Software Development,ML/AI Engineer,Researcher,Abroad"
