,Personal Info,,,,,,soft_skills,,,,academic skills,,,,,,,,,,,,,,Influencing Factor,Prefer Job
Date,name,e-mail,gender,year,cgpa,university_name,Critical Thinking,Problem Solving,Team Work,Communication Skill,Software Engineering Principal,Data Structure & Algorithm,Database Management,Data Analysis,Web Developing Skill,Understanding of computer architecture & System,Understanding Operating System,Networking Concept,Cyber Security,Maching Learning,Robotics,Research Skill,publication,project,Influencing Factor,Prefer Job
2024-04-29 09:38,,,Male,2nd,3,American International University-Bangladesh (AIUB),Intermediate,Intermediate,Advance,Advance,Basic,Intermediate,Intermediate,Basic,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Basic,1,2,"Job Environment,Salary","Software Development,Other"
2024-04-29 09:58,,,Male,1st,3.91,Port City International University (PCIU),Intermediate,Intermediate,Advance,Intermediate,Basic,Intermediate,Intermediate,,Intermediate,Basic,Basic,Basic,Basic,,,,,2,"Job Environment,Salary","Software Development,ML/AI Engineer,Gaming"
2024-04-29 10:15,,,Male,4th,3.63,"Bangabandhu Sheikh Mujibur Rahman Science & Technology University, Pirojpur (BSMRSTUP)",Basic,Advance,Advance,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Advance,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Basic,Basic,0,5,"Salary,Job Environment",Software Development
2024-04-29 19:31,,,Male,1st,,Northern University Bangladesh (NUB),Basic,Intermediate,Basic,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,,,Basic,,,2,"Job Environment,Salary","Networking,Cyber Security"
2024-04-29 22:50,,,Male,4th,3.67,United International University (UIU),Advance,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Basic,Basic,Basic,Basic,0,5,"Social Acceptance,Job Environment,Salary","Software Development,Data Analysis"
2024-04-29 22:50,,,Male,1st,3.15,American International University-Bangladesh (AIUB),Intermediate,Basic,Advance,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,,Basic,,,1,"Job Environment,Salary","Software Development,Database Administration,Management"
2024-04-30 12:36,,,Male,4th,3.41,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Advance,Intermediate,Advance,Intermediate,advance,Intermediate,Advance,Intermediate,Advance,Intermediate,Advance,Advance,Advance,Intermediate,Intermediate,Intermediate,0,7,"Job Security,Job Environment,Salary","Software Development,Data Analysis"
2024-05-03 11:39,,,Male,3rd,3.52,Rajshahi University of Engineering & Technology (RUET),Intermediate,Intermediate,Advance,Advance,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Advance,Intermediate,Advance,Intermediate,Intermediate,Intermediate,Intermediate,1,2,"Social Acceptance,Job Security,Salary","Software Development,Cyber Security,Abroad"
2024-05-03 11:49,,,Male,3rd,3.54,Rajshahi University of Engineering & Technology (RUET),Intermediate,Basic,Intermediate,Basic,,Intermediate,Basic,Basic,,Basic,,,,,,,,1,"Social Acceptance,Job Security,Job Environment,Salary,flaxible Work Life Balanced","Software Development,ML/AI Engineer,Researcher,Abroad"
2024-05-03 13:58,,,Male,3rd,3.32,Hajee Mohammad Danesh Science & Technology University (HMDSTU),Intermediate,Intermediate,Intermediate,Intermediate,Basic,Intermediate,Basic,Basic,,Basic,Basic,Basic,Basic,Basic,Basic,Basic,0,2,Salary,Software Development
2024-05-03 14:05,,,Male,3rd,3.7,Hajee Mohammad Danesh Science & Technology University (HMDSTU),Advance,Advance,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Basic,Intermediate,Intermediate,Basic,Basic,Basic,Basic,Basic,0,2,"Social Acceptance,Job Environment,Salary,flaxible Work Life Balanced","Software Development,Abroad"
2024-05-03 14:07,,,Male,3rd,3.69,Hajee Mohammad Danesh Science & Technology University (HMDSTU),Intermediate,Basic,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Basic,Basic,Basic,0,2,Salary,Teaching
2024-05-03 14:28,,,Male,3rd,3,Hajee Mohammad Danesh Science & Technology University (HMDSTU),Basic,Basic,Basic,Advance,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,0,2,"Job Security,flaxible Work Life Balanced","Bank Job,BCS,Govt Job"
2024-05-03 15:12,,,Male,3rd,3,Hajee Mohammad Danesh Science & Technology University (HMDSTU),Basic,Basic,Intermediate,Basic,Intermediate,Intermediate,Intermediate,Basic,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Basic,Basic,Basic,0,4,"Social Acceptance,Job Environment",Software Development
2024-05-03 21:05,,,Male,1st,3.62,International University of Business Agriculture & Technology (IUBAT),Intermediate,Basic,Basic,Basic,,,,,,,,,Basic,,,,,,"Job Environment,Salary",Cyber Security
2024-05-04 12:50,,,Female,2nd,2.93,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,0,1,flaxible Work Life Balanced,Other
2024-05-04 14:25,,,Male,4th,3.25,International Islamic University Chittagong (IIUC),Intermediate,Intermediate,Intermediate,Basic,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Basic,Intermediate,Intermediate,Basic,Basic,Basic,1,3,"Social Acceptance,Job Environment","Software Development,Teaching"
2024-05-05 02:07,,,Male,3rd,3.48,Hajee Mohammad Danesh Science & Technology University (HMDSTU),Basic,Basic,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,0,2,Job Environment,Teaching
2024-05-09 10:02,,,Male,4th,3,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Intermediate,Basic,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Intermediate,Intermediate,Intermediate,Basic,Basic,Intermediate,Basic,0,3,Social Acceptance,Govt Job
2024-05-09 10:16,,,Male,4th,3.81,Hajee Mohammad Danesh Science & Technology University (HMDSTU),Intermediate,Basic,Intermediate,Intermediate,Intermediate,Basic,Basic,Intermediate,Intermediate,,,,Basic,Basic,,,0,2,Job Environment,Teaching
2024-05-09 10:19,,,Male,4th,3.25,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Advance,Advance,Advance,Intermediate,advance,Advance,Intermediate,Intermediate,Advance,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Basic,0,4,"Social Acceptance,Job Security,Salary,flaxible Work Life Balanced","Software Development,ML/AI Engineer"
2024-05-09 10:46,,,Male,4th,3.3,Mawlana Bhashani Science & Technology University (MBSTU),Basic,Advance,Advance,Advance,advance,Advance,Advance,Intermediate,Advance,Basic,Intermediate,Intermediate,Basic,Basic,Basic,Basic,0,4,"Social Acceptance,Job Environment,Salary",Software Development
2024-05-09 11:04,,,Female,4th,3.51,Mawlana Bhashani Science & Technology University (MBSTU),Intermediate,Intermediate,Advance,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Intermediate,Basic,Basic,Intermediate,Basic,Basic,,Basic,0,2,Salary,Software Development
2024-05-09 11:44,,,Male,4th,3.48,Mymensingh Engineering College ,Intermediate,Basic,Intermediate,,,Intermediate,Basic,Intermediate,Intermediate,,,,,Basic,,,0,2,"Job Security,Social Acceptance",Govt Job
2024-05-09 11:50,,,Male,4th,3.48,University of Dhaka (DU),Intermediate,Intermediate,Advance,Advance,Intermediate,Intermediate,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,0,3,"Job Security,Salary,flaxible Work Life Balanced","Bank Job,BCS,Govt Job"
2024-05-09 12:35,,,Male,3rd,3.22,Mawlana Bhashani Science & Technology University (MBSTU),Intermediate,Intermediate,Intermediate,Basic,Basic,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,,,0,1,Job Security,Software Development
2024-05-09 12:56,,,Male,3rd,3.85,Mawlana Bhashani Science & Technology University (MBSTU),Advance,Advance,Intermediate,Basic,Intermediate,Advance,Advance,Basic,Basic,Intermediate,Intermediate,Basic,Basic,Basic,Basic,Basic,0,1,"Job Environment,Salary,flaxible Work Life Balanced","Software Development,Abroad"
2024-05-09 13:29,,,Male,4th,3.41,Mawlana Bhashani Science & Technology University (MBSTU),Intermediate,Basic,Intermediate,Advance,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,0,0,"Social Acceptance,Job Security,Job Environment","Bank Job,BCS,Govt Job,Abroad"
2024-05-09 13:34,,,Male,4th,,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Advance,Advance,Advance,Advance,Advance,Advance,Intermediate,Intermediate,Advance,Intermediate,Intermediate,Intermediate,Basic,Basic,Basic,Basic,,4,"Job Environment,Salary,flaxible Work Life Balanced","Software Development,Business"
2024-05-09 14:13,,,Male,3rd,3,Mawlana Bhashani Science & Technology University (MBSTU),Basic,Basic,Intermediate,,,Basic,Basic,,,Intermediate,Basic,,,,Basic,,0,1,Job Environment,Software Development
2024-05-09 15:49,shaofikur ,,Male,4th,3.1,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Intermediate,Advance,Basic,Basic,Intermediate,Advance,Basic,Advance,Basic,Intermediate,Basic,Intermediate,Basic,Intermediate,Basic,Basic,0,2,"Job Security,flaxible Work Life Balanced","Software Development,Database Administration,Data Analysis,ML/AI Engineer,Abroad"
2024-05-09 21:41,,,Male,4th,3.3,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Intermediate,Advance,Advance,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Intermediate,Intermediate,Basic,Intermediate,Basic,Basic,Basic,Intermediate,0,2,"Salary,Job Environment",Software Development
2024-05-09 21:43,,,Male,4th,3,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Intermediate,Intermediate,Advance,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Basic,0,3,"Job Environment,Salary","Software Development,Data Analysis,ML/AI Engineer"
2024-05-09 22:01,,,Male,4th,3.4,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Basic,,Basic,Intermediate,Intermediate,Basic,Intermediate,Intermediate,Basic,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Basic,0,2,flaxible Work Life Balanced,ML/AI Engineer
2024-05-09 22:34,,,Male,4th,3,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Intermediate,Advance,Intermediate,Intermediate,Intermediate,Intermediate,Advance,Advance,Intermediate,Basic,Basic,Basic,Basic,Intermediate,Basic,Basic,0,3,"Job Environment,Salary","Database Administration,Data Analysis"
2024-05-10 13:58,,,Male,4th,3.21,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Intermediate,Basic,Intermediate,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Intermediate,Basic,Basic,Basic,0,1,"Social Acceptance,Job Security,flaxible Work Life Balanced","Bank Job,BCS,Govt Job"
2024-05-10 23:53,,,Male,3rd,3.5,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Intermediate,Basic,Intermediate,Intermediate,Basic,Basic,Basic,Basic,Basic,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,0,1,Job Security,Govt Job
2024-05-12 14:16,,,Male,4th,3.24,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Intermediate,Intermediate,Intermediate,Intermediate,Basic,Intermediate,Intermediate,Intermediate,Basic,Intermediate,Intermediate,Intermediate,Basic,Intermediate,Basic,Basic,0,5,"Job Environment,Salary,flaxible Work Life Balanced","ML/AI Engineer,Abroad"
2024-05-12 14:22,,,Male,4th,2.85,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Advance,Intermediate,Advance,Advance,Basic,,,Basic,Basic,Basic,Basic,Basic,,,,,,1,flaxible Work Life Balanced,"Bank Job,Business,Govt Job"
2024-05-12 21:51,,,Male,3rd,3.39,Patuakhali  Science and technology university (PSTU),Intermediate,Intermediate,Intermediate,Basic,Intermediate,Intermediate,Intermediate,Basic,Intermediate,Intermediate,Basic,Intermediate,Basic,Basic,Basic,Basic,0,3,"Job Environment,Salary,flaxible Work Life Balanced","Software Development,ML/AI Engineer,Abroad"
2024-05-13 13:50,,,Male,4th,3,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Basic,Intermediate,Intermediate,Advance,Intermediate,Intermediate,Intermediate,Basic,Advance,,Basic,Basic,Basic,Basic,Basic,Basic,,2,"Job Security,Salary",Software Development
2024-05-13 13:53,,,Male,4th,2.74,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Intermediate,Intermediate,Intermediate,Intermediate,Basic,Basic,Intermediate,Advance,Intermediate,Basic,Basic,Basic,Basic,,Basic,Basic,1,2,"Social Acceptance,Job Security,Salary","Software Development,Data Analysis,Abroad"
2024-05-15 13:55,,,Male,4th,2.8,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Intermediate,Advance,Basic,Intermediate,Advance,Intermediate,Basic,Basic,Intermediate,Basic,0,3,"Job Security,Job Environment,Salary","Software Development,Database Administration,Data Analysis,Gaming"
2024-05-15 21:43,,,Male,3rd,3,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Basic,Basic,Intermediate,Basic,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,0,2,"Job Environment,Salary",Software Development
2024-05-17 09:46,,,Male,4th,3,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Intermediate,Advance,Advance,Intermediate,Intermediate,Advance,Intermediate,Basic,Intermediate,Basic,Intermediate,Intermediate,Intermediate,Basic,Basic,Basic,0,4,"Job Environment,Salary,flaxible Work Life Balanced","Software Development,Cyber Security,Business"
2024-05-17 09:46,,,Male,4th,2.8,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Intermediate,Intermediate,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,0,3,"Social Acceptance,Job Security,Job Environment,Salary,flaxible Work Life Balanced","Software Development,Networking,Cyber Security"
2024-05-17 09:54,,,Male,4th,3.42,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Intermediate,Intermediate,Intermediate,Basic,Intermediate,Intermediate,Intermediate,Advance,Advance,Intermediate,Intermediate,Intermediate,Basic,Basic,Basic,Basic,1,4,"Social Acceptance,Job Environment,Salary","Software Development,Data Analysis"
2024-05-17 11:06,,,Female,4th,3.43,Jahangirnagar University (JU),Intermediate,Advance,Intermediate,Advance,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Basic,0,4,"Job Environment,Salary","Software Development,Data Analysis,Management"
2024-05-17 19:13,,,Male,4th,3.5,Jahangirnagar University (JU),Intermediate,Advance,Intermediate,Basic,Intermediate,Intermediate,Advance,Advance,Advance,Advance,Advance,Intermediate,Intermediate,Intermediate,Intermediate,Basic,0,3,"Job Environment,Salary,flaxible Work Life Balanced","Software Development,ML/AI Engineer,Gaming"
2024-05-18 08:42,,,Female,4th,3.83,Jahangirnagar University (JU),Intermediate,Advance,Advance,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Intermediate,Basic,Basic,Basic,Basic,,5,"Job Environment,Salary",Software Development
2024-05-18 09:07,,,Male,4th,3.6,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Advance,Intermediate,Advance,Basic,Intermediate,Intermediate,Advance,Advance,Basic,Intermediate,Intermediate,Advance,Intermediate,Intermediate,Basic,Intermediate,0,4,"Job Environment,Salary","Networking,Data Analysis,ML/AI Engineer"
2024-05-18 09:15,,,Male,4th,3,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Advance,Advance,Advance,Intermediate,Intermediate,Advance,Intermediate,Advance,Basic,Basic,Basic,Basic,,Intermediate,,Intermediate,,2,Salary,"Software Development,Data Analysis,ML/AI Engineer,Business"
2024-05-18 15:52,,,Male,4th,3,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Intermediate,Basic,Basic,Basic,,Intermediate,Intermediate,Basic,Basic,Intermediate,Intermediate,,Basic,Basic,,,,,"Social Acceptance,flaxible Work Life Balanced","Business,Govt Job"
2024-05-20 11:54,,,Male,3rd,3.25,University of Rajshahi (RU),Intermediate,Intermediate,Basic,Basic,Intermediate,Advance,Advance,Basic,Intermediate,Basic,Intermediate,Intermediate,Basic,Basic,Basic,Basic,0,2,"Job Environment,Salary","Software Development,Database Administration"
2024-05-20 13:39,,,Male,4th,2.87,University of Rajshahi (RU),Intermediate,Basic,Intermediate,Basic,Basic,Intermediate,Intermediate,Intermediate,Basic,Basic,Basic,Intermediate,,Basic,Basic,Basic,0,1,Social Acceptance,"Bank Job,BCS,Govt Job"
2024-05-20 14:47,,,Male,3rd,3.82,University of Rajshahi (RU),Advance,Intermediate,Basic,Basic,Intermediate,Intermediate,Intermediate,Basic,Basic,Intermediate,Intermediate,Intermediate,Basic,Basic,Basic,Intermediate,0,1,"Job Security,Salary","Researcher,Abroad"
2024-05-20 15:36,,,Female,3rd,3.46,University of Rajshahi (RU),Basic,Basic,Intermediate,Basic,Intermediate,Basic,Intermediate,Basic,Basic,Intermediate,Basic,Basic,Intermediate,Basic,Basic,Basic,0,0,Social Acceptance,Other
2024-05-24 09:15,,,Male,3rd,3.21,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Intermediate,Intermediate,Intermediate,Intermediate,Basic,Basic,Basic,Intermediate,Intermediate,Intermediate,Advance,Intermediate,Basic,Basic,Basic,Basic,0,4,"Job Security,Salary,flaxible Work Life Balanced","Software Development,Bank Job,BCS,Govt Job"
2024-05-24 19:15,,,Male,4th,2.75,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Advance,Intermediate,Advance,Intermediate,Intermediate,Intermediate,Basic,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Basic,Basic,Intermediate,,4,Job Security,"BCS,Govt Job"
2024-05-24 21:14,,,Male,4th,3.58,Jahangirnagar University (JU),Advance,Advance,Advance,Advance,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Basic,Intermediate,Basic,Basic,Basic,Intermediate,1,2,"Job Security,Salary,flaxible Work Life Balanced","Cyber Security,Researcher"
2024-06-01 11:20,,,Male,4th,3.49,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Basic,Basic,Basic,Basic,Basic,Intermediate,Advance,Basic,Advance,Intermediate,Intermediate,Basic,Basic,Basic,Basic,Basic,0,6,"Job Security,Salary,flaxible Work Life Balanced","Software Development,Database Administration,Govt Job"
2024-06-07 23:55,,,Male,4th,3.55,University of Dhaka (DU),Advance,Advance,Advance,Advance,Advance,Advance,Advance,Intermediate,Advance,Basic,,Basic,Basic,Intermediate,,Intermediate,1,3,"Salary,Job Environment",Software Development
2024-06-07 23:57,,,Male,4th,3.85,University of Dhaka (DU),Intermediate,Intermediate,Intermediate,Advance,Basic,Basic,Intermediate,Intermediate,Basic,Basic,Basic,Intermediate,Basic,Intermediate,,Advance,3,0,"Salary,flaxible Work Life Balanced",Abroad
2024-06-07 23:59,,,Male,4th,3.11,University of Dhaka (DU),Advance,Advance,Advance,Intermediate,,Advance,Advance,Intermediate,Advance,,Intermediate,Basic,Basic,Basic,Basic,Basic,0,4,Social Acceptance,"Software Development,Database Administration"
2024-06-08 00:00,,,Female,4th,3.5,University of Dhaka (DU),Intermediate,Basic,Intermediate,Advance,Basic,Basic,Basic,Basic,Basic,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,1,1,Job Security,"Bank Job,BCS,Govt Job"
2024-06-08 00:02,,,Male,4th,2.98,University of Dhaka (DU),Advance,Advance,Advance,Intermediate,advance,Advance,Advance,Intermediate,Advance,Intermediate,Intermediate,Intermediate,Basic,Intermediate,Intermediate,Basic,0,5,"Social Acceptance,Job Environment","Software Development,Database Administration"
2024-06-08 13:43,,,Male,4th,3.8,Bangladesh University of Engineering & Technology (BUET),Advance,Advance,Advance,Advance,Intermediate,Intermediate,Basic,Advance,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Advance,Basic,Advance,3,1,"Salary,flaxible Work Life Balanced","Researcher,Abroad"
2024-06-08 13:44,,,Male,4th,3.5,Bangladesh University of Engineering & Technology (BUET),Advance,Advance,Advance,Basic,advance,Advance,Advance,Intermediate,Advance,Intermediate,Intermediate,Basic,Basic,Basic,Basic,Basic,1,5,Job Security,"Software Development,Database Administration,Data Analysis"
2024-06-08 15:25,,,Male,4th,3.1,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Advance,Advance,Advance,Intermediate,Intermediate,Intermediate,Basic,Basic,Intermediate,Intermediate,Intermediate,Basic,Basic,Basic,Basic,Intermediate,0,5,"Job Environment,Salary,flaxible Work Life Balanced","Software Development,Gaming"
2024-06-08 16:09,,,Male,4th,2.89,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Advance,Intermediate,Basic,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Basic,Basic,Basic,0,6,"Salary,Job Environment",Software Development
2024-06-08 16:09,,,Male,4th,2.92,Patuakhali  Science and technology university (PSTU),Intermediate,Advance,Intermediate,Advance,Intermediate,Intermediate,Advance,Intermediate,Advance,Intermediate,Intermediate,Basic,Basic,Basic,Basic,Basic,0,5,"Salary,Job Environment",Software Development
2024-06-08 16:20,,,Male,4th,3.08,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Advance,Intermediate,Intermediate,Advance,Intermediate,Intermediate,Intermediate,Intermediate,Advance,Intermediate,Intermediate,Intermediate,Basic,Intermediate,Intermediate,Intermediate,0,5,"Social Acceptance,Job Security,flaxible Work Life Balanced","Software Development,Management,Teaching,Govt Job"
2024-06-08 16:20,,,Male,4th,2.7,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Basic,Basic,Intermediate,Intermediate,Basic,Intermediate,Intermediate,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,0,2,Social Acceptance,BCS
2024-06-08 16:48,,,Female,4th,3.39,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Intermediate,Advance,Basic,Intermediate,Intermediate,,Intermediate,Basic,,,4,"Job Environment,Salary","Software Development,Business,Abroad"
2024-06-08 17:47,,,Male,4th,2.76,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Intermediate,Basic,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Advance,Intermediate,Intermediate,Basic,Basic,Basic,Intermediate,Basic,Basic,1,4,"Social Acceptance,Job Security,Salary","Software Development,Data Analysis,Abroad"
2024-06-08 19:45,,,Male,4th,2.95,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Intermediate,Advance,Intermediate,Advance,Intermediate,Advance,Intermediate,Intermediate,Advance,Basic,Basic,Basic,Basic,Intermediate,Basic,Intermediate,1,4,Salary,"Software Development,Abroad"
2024-06-08 22:46,,,Male,4th,3,Patuakhali  Science and technology university (PSTU),Intermediate,Advance,Intermediate,Advance,Intermediate,Intermediate,Advance,Intermediate,Advance,Basic,Intermediate,Intermediate,Basic,Intermediate,Intermediate,Basic,2,6,"Job Environment,Salary","Database Administration,Data Analysis,ML/AI Engineer,Abroad,Other"
2024-06-09 00:18,,,Male,4th,3.83,University of Rajshahi (RU),Intermediate,Basic,Advance,Intermediate,Basic,Intermediate,Intermediate,Advance,Basic,Basic,Basic,Basic,Basic,Advance,Basic,Advance,3,0,"Job Environment,flaxible Work Life Balanced",Abroad
2024-06-09 18:31,,,Male,4th,3.18,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Intermediate,Intermediate,Basic,Basic,Intermediate,Intermediate,Advance,Intermediate,Basic,Intermediate,Intermediate,Advance,Intermediate,Intermediate,Basic,Basic,0,4,"Job Security,flaxible Work Life Balanced","Software Development,Database Administration,Data Analysis,ML/AI Engineer,Gaming"
2024-06-09 19:12,,,Male,4th,3.34,Patuakhali  Science and technology university (PSTU),Basic,Basic,Intermediate,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Intermediate,Basic,Basic,Basic,Basic,0,3,"Social Acceptance,flaxible Work Life Balanced",BCS
2024-06-12 09:54,,,Male,4th,3.38,University of Chittagong (CU),Advance,Advance,Advance,Basic,advance,Advance,Advance,Intermediate,Advance,Basic,Basic,Basic,Intermediate,Intermediate,Basic,Basic,0,5,Social Acceptance,"Software Development,Database Administration"
2024-06-12 09:58,,,Male,4th,3.55,University of Chittagong (CU),Intermediate,Basic,Intermediate,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Intermediate,Basic,Basic,Basic,Basic,Intermediate,0,0,Job Security,"Bank Job,BCS,Govt Job"
2024-06-12 10:01,,,Male,4th,3.92,University of Chittagong (CU),Advance,Advance,Advance,Advance,Intermediate,Intermediate,Basic,Intermediate,Basic,Intermediate,Advance,Basic,Basic,Advance,Basic,Advance,2,1,flaxible Work Life Balanced,Abroad
2024-06-12 10:02,,,Male,4th,2.92,University of Chittagong (CU),Advance,Advance,Advance,Intermediate,advance,Advance,Advance,Intermediate,Advance,Intermediate,Advance,Intermediate,Basic,Intermediate,Intermediate,Basic,0,5,Job Security,"Software Development,Database Administration"
2024-04-24 11:36,,,Male,4th,3.05,Rajshahi University of Engineering & Technology (RUET),Basic,Advance,Intermediate,Intermediate,Intermediate,Basic,Intermediate,Basic,Intermediate,Basic,Basic,Intermediate,Basic,Basic,Basic,Intermediate,1,4,"Salary,Job Environment",Software Development
2024-04-24 11:38,,,Male,4th,3.78,Rajshahi University of Engineering & Technology (RUET),Intermediate,Intermediate,Intermediate,Basic,Intermediate,Intermediate,Intermediate,Intermediate,Advance,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,1,2,"Job Security,Job Environment,flaxible Work Life Balanced","Software Development,Abroad"
2024-04-24 11:42,,,Male,4th,3.01,Rajshahi University of Engineering & Technology (RUET),Intermediate,Basic,Intermediate,Advance,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,0,4,Job Security,Bank Job
2024-04-24 12:30,,,Male,4th,3.12,University of Chittagong (CU),Basic,Advance,Advance,Advance,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Intermediate,1,2,"Social Acceptance,Job Security,Job Environment,Salary,flaxible Work Life Balanced","Software Development,ML/AI Engineer,Teaching"
2024-04-24 13:04,,,Male,4th,2.9,University of Chittagong (CU),Intermediate,Advance,Advance,Advance,Intermediate,Intermediate,Advance,Advance,Advance,Basic,Advance,Advance,Intermediate,Advance,Intermediate,Basic,1,5,"Salary,Job Environment",Software Development
2024-04-24 13:13,,,Male,4th,,University of Chittagong (CU),Basic,Basic,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,,,"Job Security,flaxible Work Life Balanced",Govt Job
